app,app_cat,reviewer,h_cat,heuristic,score,score_prop,mean_dl,rating,total_ratings
com.popularapp.periodcalendar,mood,Luke,notice,0,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,notice,1,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,notice,2,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,notice,3,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,notice,4,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,notice,6,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,7,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,10,0,0.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,11,0,0.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,12,0,0.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,13,3,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,consent,14,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,access,15,3,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,access,16,1,0.5,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,access,17,2,1.0,75000000.0,4.740021229,3624644.0
com.popularapp.periodcalendar,mood,Luke,access,18,0,0.0,75000000.0,4.740021229,3624644.0
com.myfitnesspal.android,diet,Luke,notice,0,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,1,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,2,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,3,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,4,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,5,1,0.25,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,notice,6,2,1.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,7,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,8,2,1.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,9,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,10,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,11,1,0.3333333333333333,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,12,1,0.3333333333333333,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,13,3,1.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,consent,14,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,access,15,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,access,16,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,access,17,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,access,18,1,0.5,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,19,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,20,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,21,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,22,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,24,0,0.0,75000000.0,4.61275816,1411645.0
com.myfitnesspal.android,diet,Luke,social,25,0,0.0,75000000.0,4.61275816,1411645.0
com.fitbit.FitbitMobile,hardware,Luke,notice,0,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,1,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,2,0,0.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,3,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,4,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,5,1,0.25,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,notice,6,2,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,7,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,8,0,0.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,9,2,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,10,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,11,1,0.3333333333333333,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,12,1,0.3333333333333333,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,13,1,0.3333333333333333,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,consent,14,0,0.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,access,15,1,0.3333333333333333,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,access,16,2,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,access,17,2,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,access,18,2,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,19,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,20,0,0.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,21,1,0.5,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,22,1,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,23,1,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,24,1,1.0,30000000.0,3.95070076,208624.0
com.fitbit.FitbitMobile,hardware,Luke,social,25,0,0.0,30000000.0,3.95070076,208624.0
com.google.android.apps.fitness,steps,Luke,notice,0,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,1,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,2,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,3,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,4,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,5,1,0.25,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,notice,6,2,1.0,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,consent,7,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,consent,8,2,1.0,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,consent,9,1,0.5,30000000.0,3.963454723,202024.0
com.google.android.apps.fitness,steps,Luke,consent,10,2,1.0,30000000.0,3.963454723,202024.0
